-10.290996,-9.568298,-9.737855,-10.171046
-24.831141,-23.871197,-24.810047,-24.334978
-34.733692,-34.052849,-34.145191,-33.65226
-13.428537,-14.145737,-14.470637,-14.447615
-14.589646,-14.550093,-14.220876,-14.978566
-25.320347,-24.774683,-24.456701,-24.843441
-5.848583,-5.138219,-5.932043,-6.291862
-1.493351,-1.55365,-0.895,-1.0
-8.151996,-8.861588,-8.7052,-8.683474
-8.905098,-8.500742,-9.379734,-9.186429
-9.603372,-8.95259,-9.141022,-9.790745
-10.863536,-10.499,-10.396347,-10.760793
-13.336211,-12.598413,-13.017855,-12.867865
-30.495667,-30.425789,-29.304667,-30.180973
-44.175835,-46.909466,-46.480999,-47.177948
